                        CityMPG+    HighwayMPG+    Weight-    Class-    Avg evals
--------------------  ----------  -------------  ---------  --------  -----------
all                           21             28       3040      17.7            0
sway                       29.55          34.65    2175.75     9.265            5
sway_pca                      29           34.1     2184.5     8.925            5
sway_pca_alpha             28.95          33.45       2187     9.075            5
sway_pca_alpha2             29.1             33       2045       8.4            5
sway_fa                     27.2           32.5    2316.75      9.75            5
sway_fa_alpha                 31          35.05     2130.5     8.775            5
sway_fa_alpha2              29.1             33    2089.75      8.55            5
sway_xpln                  29.55           34.2     2258.5     9.635            5
sway_pca_xpln              29.55          33.25     2242.5      9.54            5
sway_pca_alpha_xpln        29.55           33.7       2194      9.17            5
sway_pca_alpha2_xpln        30.6          34.15     2101.5      8.87            5
sway_fa_xpln                28.1          32.85       2414    11.025            5
sway_fa_alpha_xpln          28.8           33.7       2325     10.15            5
sway_fa_alpha2_xpln           30           33.6       2194      9.12            5
top                         34.5           41.5       2045       8.6           93

                                   CityMPG+    HighwayMPG+    Weight-    Class-
---------------------------------  ----------  -------------  ---------  --------
all to all                         =           =              =          =
all to sway                        ≠           ≠              ≠          ≠
all to sway_pca                    ≠           ≠              ≠          ≠
all to sway_pca_alpha              ≠           ≠              ≠          ≠
all to sway_pca_alpha2             ≠           ≠              ≠          ≠
all to sway_fa                     ≠           ≠              ≠          ≠
all to sway_fa_alpha               ≠           ≠              ≠          ≠
all to sway_fa_alpha2              ≠           ≠              ≠          ≠
sway to sway_pca                   ≠           ≠              ≠          ≠
sway to sway_pca_alpha             ≠           ≠              ≠          ≠
sway to sway_pca_alpha2            ≠           ≠              ≠          ≠
sway to sway_fa                    ≠           ≠              ≠          ≠
sway to sway_fa_alpha              ≠           ≠              ≠          ≠
sway to sway_fa_alpha2             ≠           ≠              ≠          ≠
sway_pca to sway_pca_alpha         ≠           ≠              ≠          ≠
sway_pca to sway_pca_alpha2        ≠           ≠              ≠          ≠
sway_pca to sway_fa                ≠           ≠              ≠          ≠
sway_pca to sway_fa_alpha          ≠           ≠              ≠          ≠
sway_pca to sway_fa_alpha2         ≠           ≠              ≠          ≠
sway_pca_alpha to sway_pca_alpha2  ≠           ≠              ≠          ≠
sway_pca_alpha to sway_fa          ≠           ≠              ≠          ≠
sway_pca_alpha to sway_fa_alpha    ≠           ≠              ≠          ≠
sway_pca_alpha to sway_fa_alpha2   ≠           ≠              ≠          ≠
sway_pca_alpha2 to sway_fa         ≠           ≠              ≠          ≠
sway_pca_alpha2 to sway_fa_alpha   ≠           ≠              ≠          ≠
sway_pca_alpha2 to sway_fa_alpha2  ≠           ≠              ≠          ≠
sway_fa to sway_fa_alpha           ≠           ≠              ≠          ≠
sway_fa to sway_fa_alpha2          ≠           ≠              ≠          ≠
sway_fa_alpha to sway_fa_alpha2    ≠           ≠              ≠          ≠
sway to top                        ≠           ≠              ≠          ≠
sway_pca to top                    ≠           ≠              ≠          ≠
sway_pca_alpha to top              ≠           ≠              ≠          ≠
sway_pca_alpha2 to top             ≠           ≠              ≠          ≠
sway_fa to top                     ≠           ≠              ≠          ≠
sway_fa_alpha to top               ≠           ≠              ≠          ≠
sway_fa_alpha2 to top              ≠           ≠              ≠          ≠

real	0m24.403s
user	0m26.940s
sys	0m11.629s
