                         Lbs-    Acc+    Mpg+    Avg evals
--------------------  -------  ------  ------  -----------
all                      2800    15.5      20            0
sway                  2169.15  15.975      31            6
sway_pca               2176.4  15.655    33.5            6
sway_pca_alpha         2174.5  15.715      35            6
sway_pca_alpha2          2085   16.16      36            6
sway_fa                2057.7   16.21    34.5            6
sway_fa_alpha         2106.75   15.96      31            6
sway_fa_alpha2        1973.75  15.825    37.5            6
sway_xpln              2216.5   16.01      30            6
sway_pca_xpln         2184.75   16.02    29.5            6
sway_pca_alpha_xpln    2160.5  16.095      31            6
sway_pca_alpha2_xpln  2174.85   16.13    30.5            6
sway_fa_xpln           2174.2   16.04      30            6
sway_fa_alpha_xpln    2180.95  16.005      30            6
sway_fa_alpha2_xpln   2158.25  16.185      30            6
top                      1987    18.8      40          398

                                   Lbs-    Acc+    Mpg+
---------------------------------  ------  ------  ------
all to all                         =       =       =
all to sway                        ≠       ≠       ≠
all to sway_pca                    ≠       ≠       ≠
all to sway_pca_alpha              ≠       ≠       ≠
all to sway_pca_alpha2             ≠       ≠       ≠
all to sway_fa                     ≠       ≠       ≠
all to sway_fa_alpha               ≠       ≠       ≠
all to sway_fa_alpha2              ≠       ≠       ≠
sway to sway_pca                   ≠       ≠       ≠
sway to sway_pca_alpha             ≠       ≠       ≠
sway to sway_pca_alpha2            ≠       ≠       ≠
sway to sway_fa                    ≠       ≠       ≠
sway to sway_fa_alpha              ≠       ≠       ≠
sway to sway_fa_alpha2             ≠       ≠       ≠
sway_pca to sway_pca_alpha         ≠       ≠       ≠
sway_pca to sway_pca_alpha2        ≠       ≠       ≠
sway_pca to sway_fa                ≠       ≠       ≠
sway_pca to sway_fa_alpha          ≠       ≠       ≠
sway_pca to sway_fa_alpha2         ≠       ≠       ≠
sway_pca_alpha to sway_pca_alpha2  ≠       ≠       ≠
sway_pca_alpha to sway_fa          ≠       ≠       ≠
sway_pca_alpha to sway_fa_alpha    ≠       ≠       ≠
sway_pca_alpha to sway_fa_alpha2   ≠       ≠       ≠
sway_pca_alpha2 to sway_fa         ≠       ≠       ≠
sway_pca_alpha2 to sway_fa_alpha   ≠       ≠       ≠
sway_pca_alpha2 to sway_fa_alpha2  ≠       ≠       ≠
sway_fa to sway_fa_alpha           ≠       ≠       ≠
sway_fa to sway_fa_alpha2          ≠       ≠       ≠
sway_fa_alpha to sway_fa_alpha2    ≠       ≠       ≠
sway to top                        ≠       ≠       ≠
sway_pca to top                    ≠       ≠       ≠
sway_pca_alpha to top              ≠       ≠       ≠
sway_pca_alpha2 to top             ≠       ≠       ≠
sway_fa to top                     ≠       ≠       ≠
sway_fa_alpha to top               ≠       ≠       ≠
sway_fa_alpha2 to top              =       ≠       ≠

real	0m59.276s
user	0m59.149s
sys	0m0.582s
